更新时间,#genre#
2024-12-28 06:26:34,url
📺央视频道,#genre#
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-1,http://112.101.78.50:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$黑龙江酒店源
CCTV-1,http://221.222.162.206:8888/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV-1,http://222.129.139.229:8888/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV-1,http://115.60.241.249:2000/rtp/225.1.4.73:1102$组播源|1920x1080
CCTV-1,http://111.196.129.152:20000/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV-1,http://123.117.174.237:30000/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV-1,http://122.9.151.210:2669/rtp/238.255.2.91:5999$组播源
CCTV-1,http://221.219.79.161:4000/rtp/239.3.1.129:8008$组播源
CCTV-1,http://114.243.110.0:4000/rtp/239.3.1.129:8008$组播源
CCTV-1,http://113.100.72.88:8899/udp/239.77.1.17:5146$订阅源|1920x1080
CCTV-1,http://60.2.190.206:4000/udp/239.253.92.83:8012$订阅源|1920x1080
CCTV-1,http://114.249.229.24:8888/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV-1,http://114.249.215.204:9888/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV-1,http://114.249.230.215:9888/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV-1,http://114.83.223.132:9999/udp/239.45.3.145:5140$订阅源|1920x1080
CCTV-1,http://123.113.249.203:8888/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV-1,http://114.252.239.133:9876/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV-1,http://123.113.187.204:8000/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV-1,http://123.122.163.183:19999/udp/239.3.1.129:8008$订阅源|1920x1080
